Solution, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Total, 
1011, 2.0, 4.5, 4.0, 2.0, 5.0, 5.0, 5.0, 27.5
1275, 2.0, 5.0, 3.0, 3.0, 3.0, 4.0, 4.0, 24.0
1254, 2.0, 9.0, 2.0, 4.0, 4.0, 5.0, 3.0, 29.0
1215, 2.0, 6.0, 2.0, 3.0, 2.0, 3.0, 3.0, 21.0
1090, 2.0, 9.0, 4.0, 2.0, 3.0, 2.0, 0.0, 22.0
1289, 2.0, 6.5, 0.0, 3.0, 3.0, 5.0, 4.0, 23.5
1051, 2.0, 6.0, 4.0, 4.0, 1.5, 4.0, 5.0, 26.5
1001, 2.0, 8.5, 0.0, 4.0, 4.0, 5.0, 5.0, 28.5
1148, 2.0, 3.0, 0.0, 5.0, 5.0, 5.0, 4.0, 24.0
1193, 2.0, 6.0, 3.5, 5.0, 2.5, 2.5, 1.5, 23.0
1055, 1.0, 2.5, 4.0, 3.0, 2.5, 2.0, 5.0, 20.0
1149, 2.0, 7.0, 4.0, 4.0, 3.0, 3.0, 5.0, 28.0
1111, 2.0, 8.0, 2.0, 4.0, 4.0, 2.0, 3.0, 25.0
1283, 2.0, 8.0, 4.0, 4.5, 4.5, 3.5, 2.0, 28.5
1085, 2.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 29.0
1073, 2.0, 8.0, 2.0, 3.0, 5.0, 3.0, 3.0, 26.0
1159, 2.0, 8.0, 0.0, 5.0, 3.0, 5.0, 4.0, 27.0
